RNDF_name	rndf_280S-20070227.txt
num_segments	1
num_zones	0
format_version	1.0
creation_date	2/27/2007
segment	1
num_lanes	13
lane	1.1
num_waypoints	267
lane_width	12.0000
left_boundary	solid_white
right_boundary	broken_white
1.3.110	37.4086828	-122.1937515
1.3.111	37.4086171	-122.1935424
1.3.112	37.4085607	-122.1933595
1.3.113	37.4085092	-122.1932005
1.3.114	37.4084573	-122.1930441
1.3.115	37.4084104	-122.1928956
1.3.116	37.4083461	-122.1926972
1.3.117	37.4082906	-122.1925354
1.3.118	37.4082376	-122.1923870
1.3.119	37.4081892	-122.1922495
1.3.120	37.4081079	-122.1920367
1.3.121	37.4080245	-122.1918287
1.3.122	37.4079350	-122.1916219
1.3.123	37.4078431	-122.1914183
1.3.124	37.4077451	-122.1912161
1.3.125	37.4076428	-122.1910137
1.3.126	37.4075473	-122.1908305
1.3.127	37.4074489	-122.1906549
1.3.128	37.4073471	-122.1904713
1.3.129	37.4072511	-122.1903106
1.3.130	37.4071265	-122.1901177
1.3.131	37.4070188	-122.1899533
1.3.132	37.4069030	-122.1897932
1.3.133	37.4067891	-122.1896391
1.3.134	37.4066523	-122.1894527
1.3.135	37.4065152	-122.1892788
1.3.136	37.4063679	-122.1891069
1.3.137	37.4062218	-122.1889370
1.3.138	37.4060690	-122.1887708
1.3.139	37.4059142	-122.1886111
1.3.140	37.4057574	-122.1884570
1.3.141	37.4055974	-122.1883053
1.3.142	37.4054373	-122.1881561
1.3.143	37.4052771	-122.1880071
1.3.144	37.4051143	-122.1878565
1.3.145	37.4049532	-122.1877076
1.3.146	37.4047935	-122.1875588
1.3.147	37.4046332	-122.1874103
1.3.148	37.4044752	-122.1872642
1.3.149	37.4043190	-122.1871189
1.3.150	37.4041745	-122.1869839
1.3.151	37.4040411	-122.1868592
1.3.152	37.4039186	-122.1867443
1.3.153	37.4038038	-122.1866377
1.3.154	37.4036899	-122.1865316
1.3.155	37.4035749	-122.1864234
1.3.156	37.4034612	-122.1863162
1.3.157	37.4033438	-122.1862042
1.3.158	37.4032208	-122.1860870
1.3.159	37.4030979	-122.1859682
1.3.160	37.4029712	-122.1858444
1.3.161	37.4028399	-122.1857145
1.3.162	37.4027087	-122.1855839
1.3.163	37.4025750	-122.1854489
1.3.164	37.4024389	-122.1853121
1.3.165	37.4023044	-122.1851773
1.3.166	37.4021708	-122.1850429
